jednso	$x_1$ se detri li so noi sinxa lo so moi be lu'i ro da poi djedi li pa gi'e pagbu $x_2$ noi jeftu li pa lu'u ku'o $x_3$	.i da ka'e smuni zo jednso .ijanai da'i za'u bi djedi cu pagbu lo pa jeftu to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {jeftu} .e zo {jednpa} mu'anai	fu'ivla
jednvai	$x_1$ se detri li vai noi sinxa lo vai moi be lu'i ro da poi djedi li pa gi'e pagbu $x_2$ noi jeftu li pa lu'u ku'o $x_3$	.i da ka'e smuni zo jednvai .ijanai da'i vei za'u rei a za'u xei ve'o djedi cu pagbu lo pa jeftu to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {jeftu} .e zo {jednpa} mu'anai	fu'ivla
jednvo	$x_1$ se detri li vo noi sinxa lo vo moi be lu'i ro da poi djedi li pa gi'e pagbu $x_2$ noi jeftu li pa lu'u ku'o $x_3$	.i lu lo jednvo li'u cu dunli lu lo se {jefydeidetri} be li {vo} li'u lo ka smuni to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {jeftu} .e zo {jednpa} .e zo {jednre} .e zo {jednci} .e zo {jednmu} .e zo {jednxa} .e zo {jednze}	fu'ivla
jednxa	$x_1$ se detri li xa noi sinxa lo xa moi be lu'i ro da poi djedi li pa gi'e pagbu $x_2$ noi jeftu li pa lu'u ku'o $x_3$	.i lu lo jednxa li'u cu dunli lu lo se {jefydeidetri} be li {xa} li'u lo ka smunito lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {jeftu} .e zo {jednpa} .e zo {jednre} .e zo {jednci} .e zo {jednvo} .e zo {jednmu} .e zo {jednze}	fu'ivla
jednxei	$x_1$ se detri li xei noi sinxa lo xei moi be lu'i ro da poi djedi li pa gi'e pagbu $x_2$ noi jeftu li pa lu'u ku'o $x_3$	.i da ka'e smuni zo jednxei .ijanai da'i za'u jau djedi cu pagbu lo pa jeftu to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {jeftu} .e zo {jednpa} mu'anai	fu'ivla
jednze	$x_1$ se detri li ze noi sinxa lo ze moi be lu'i ro da poi djedi li pa gi'e pagbu $x_2$ noi jeftu li pa lu'u ku'o $x_3$	.i lu lo jednze li'u cu dunli lu lo se {jefydeidetri} be li {ze} li'u lo ka smuni .i va'o lo nu la gregoris cu manri kei zo {jedlno} ka'e basti zo jednze to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {jeftu} .e zo {jednpa} .e zo {jednre} .e zo {jednci} .e zo {jednvo} .e zo {jednmu} .e zo {jednze}	fu'ivla
je'empe	$x_1$ snada lo ka ce'u te benji $x_2$ noi se cusku ja vo'ai smusku $x_3$ ku'o $x_3$ gi'e jimpe lo smuni be $x_2$		fu'ivla
je'e nai	tcita lo cmene ja ve skicu le du'u sinxa le du'u makau te cusku .e le du'u le cusku cu te benji nagi'anai jimpe	{je'e} {nai}	cmavo-compound			COI*
je'enmo	$x_1$ te bevri fi tu'a $x_2$ gi'e smujmi je se zasti $x_2$	.i va'i {je'e} zei {cinmo}	fu'ivla
julbaco	$x_1$ noi junla cu arco ja te tcidu lo tcika pe ba za $x_2$		fu'ivla
julpuco	$x_1$ noi junla cu arco ja te tcidu lo tcika pe pu za $x_2$		fu'ivla
kai'inmoi	lo du'u $x_3$ li pa dubmau kei goi dy. zo'u ge ga nai me'au dy. gi me'au $x_5$ fa lo ka kai'inmoi $x_2$ fi $x_3$ vu'u li pa fo $x_4$ fu $x_5$ kei lo ka $x_1$ me'au $x_4$ ce'u, gi ga me'au dy. gi $x_1$ fe $x_2$ me'au $x_4$	panra zo {ki'inmoi} lo ka pe'a lo linsi pe ce'u na bi'ai zilzba zo lo .i lu «dei di'e di'u do'i ki'inmoi» li'u smujbi lu «dei di'e di'u do'i kai'inmoi lo ka {kancuru'o}» li'u	fu'ivla
ka'inxo	$x_1$ co'a ckaji $x_2$	srana fa zo {binxo} je zo .{inxo} je zo {cfari} je zo {tolcri} je zo {kirxu} je zo {du'inxo}	fu'ivla
kleinzu	$x_1$ klesi $x_4$ $x_3$ gi'e gunma $x_2$		fu'ivla
klesrverlapi	$x_1$ .e $x_2$ selcmi .ije da cmima $x_1$ .e $x_2$ .ije de cmima $x_1$ .enai $x_2$ .ije di cmima $x_1$ na.e $x_2$		fu'ivla
klojere	ro da poi me $x_1$ zo'u lo me'au $x_2$ be da cu me $x_1$	panra zo {kloje} fi lo ka na gismu	fu'ivla
ko'orsi	$x_2$ me'au $x_1$ fe $x_3$ .ije $x_3$ go'i $x_4$ .ije $x_4$ go'i $x_5$ .ije li'o	panra zo {ki'irsi} zo'e	fu'ivla
korlma	$x_1$ danlu $x_2$ gi'e panje pe'a		fu'ivla	pevypanje
kraice	$x_1$ to'e tende lo ka traide $x_2$		fu'ivla
kricili	$x_1$ $x_2$ se'onmo gi'e nai krici		fu'ivla
krumami	$x_1$ se vrusi lo ka simsa lo rectu fi'o ganse $x_2$	{vrusi}; {simsa}; {rectu}; {ganse}; {kurki}; {slari}; {titla}; {silnycpina}	fu'ivla
ku'antora	$x_1$ namcu gi'e se zilkancu lo ckaji be $x_2$	srana fa zo {namcu} .e zo {zilkancu} .e zo {ckaji} .e zo {klani} .e zo {bridi}	fu'ivla	ku'antora
larseku	$x_1$ prosa ja pemci ja skina ja draci $x_2$ fi $x_3$ fo $x_4$ .i va'i $x_1$ larselsku $x_3$ noi se pi'o vo'a tavla $x_4$ fi $x_2$ zi'o ku'o $x_4$	{prosa} {pemci} {skina} {draci} {larselsku}	fu'ivla
lau'imsa	(to lerci nu snigau toi) $x_1$ simsa la'e di'u	smujbi ja smudu'i fa zo {rusmi} .i srana fa zo {lau'u}	fu'ivla
lekseme	$x_1$ tarmi lo leksikosle be $x_2$ ku no'u $x_3$	e'u catlu zo {leksikosle} a zo {leksiko}	fu'ivla
lerfi'ubu	$x_1$ padle'u gi'e me me'o fi'ubu .i va'i $x_1$ me zo'oi /		fu'ivla
lerkoma	$x_1$ padle'u gi'e me me'o slaka-bu .i va'i $x_1$ me zo'oi ,		fu'ivla
li'imdu	$x_1$ $x_3$ li'i me'au $x_2$ noi nundumu ja zilkai		fu'ivla
li'inta	$x_1$ fanta lo nu $x_2$ lifri $x_3$	srana fa zo {lifri} .e zo {fanta} .e zo {friselfanta} .e zo {frisefa}	fu'ivla	li'inta
ma'erlo	$x_1$ alga la'o .ly. Melobesioideae .ly .e $x_2$ .i $x_1$ crepu lo bakri lo xamsi		fu'ivla	ma'erlo
maftufa	$x_1$ genturfa'i $x_2$ $x_3$ .i je $x_2$ srana lo si'o makfa	.i {makfa} {genturfa'i} .i ji'a srana zo {gerna} .e zo {stura} .e zo {facki} .e zo {zantufa} .e zo {maltufa}	fu'ivla
makcubi	$x_1$ ca'o binxo lo ka ce'u makcu	srana fa zo {makcu} .e zo {binxo} .e zo {citno}	fu'ivla	makcubi
maltufa	$x_1$ genturfa'i $x_2$ $x_3$ .i je $x_3$ mabla lo ka ge ce'u sampu gi lo si'o pairnu'i cu mukti ce'u kei $x_4$	.i {mabla} {genturfa'i} .i ji'a srana zo {sampu} .e zo {pairnu'i} .e zo {mukti} .e zo {gerna} .e zo {stura} .e zo {facki} .e zo {zantufa}	fu'ivla
manjetu	bo'ai mo'e $x_1$ su'i re ckaji $x_2$		fu'ivla
masnbi	$x_1$ se detri li bi noi sinxa lo bi moi be lu'i ro da poi masti li pa gi'e pagbu $x_2$ noi nanca li pa lu'u ku'o $x_3$	.i lu lo masnbi li'u cu dunli lu lo se {ma'irdetri} be li {bi} li'u lo ka smuni to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {masti} .e zo {masnpa} .e zo {masnre} .e zo {masnci} .e zo {masnvo} .e zo {masnmu} .e zo {masnxa} .e zo {masnze} .e zo {masnso} .e zo {masndau} .e zo {masnfei} .e zo {masngai} .e zo {masnjau} .e zo {masnrei} .a bo {masnxei} .e zo {masnvai}	fu'ivla
masnci	$x_1$ se detri li ci noi sinxa lo ci moi be lu'i ro da poi masti li pa gi'e pagbu $x_2$ noi nanca li pa lu'u ku'o $x_3$	.i lu lo masnci li'u cu dunli lu lo se {ma'irdetri} be li {ci} li'u lo ka smuni to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {masti} .e zo {masnpa} .e zo {masnre} .e zo {masnvo} .e zo {masnmu} .e zo {masnxa} .e zo {masnze} .e zo {masnbi} .e zo {masnso} .e zo {masndau} .e zo {masnfei} .e zo {masngai} .e zo {masnjau} .e zo {masnrei} .a bo {masnxei} .e zo {masnvai}	fu'ivla
masndau	$x_1$ se detri li dau noi sinxa lo dau moi be lu'i ro da poi masti li pa gi'e pagbu $x_2$ noi nanca li pa lu'u ku'o $x_3$	.i lu lo masndau li'u cu dunli lu lo se {ma'irdetri} be li {dau} li'u lo ka smuni to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {masti} .e zo {masnpa} .e zo {masnre} .e zo {masnci} .e zo {masnvo} .e zo {masnmu} .e zo {masnxa} .e zo {masnze} .e zo {masnbi} .e zo {masnso} .e zo {masnfei} .e zo {masngai} .e zo {masnjau} .e zo {masnrei} .a bo {masnxei} .e zo {masnvai}	fu'ivla
masnfei	$x_1$ se detri li fei noi sinxa lo fei moi be lu'i ro da poi masti li pa gi'e pagbu $x_2$ noi nanca li pa lu'u ku'o $x_3$	.i lu lo masnfei li'u cu dunli lu lo se {ma'irdetri} be li {fei} li'u lo ka smuni to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {masti} .e zo {masnpa} .e zo {masnre} .e zo {masnci} .e zo {masnvo} .e zo {masnmu} .e zo {masnxa} .e zo {masnze} .e zo {masnbi} .e zo {masnso} .e zo {masndau} .e zo {masngai} .e zo {masnjau} .e zo {masnrei} .a bo {masnxei} .e zo {masnvai}	fu'ivla
